EER;FMR;FNMR;THR;GDTHR;GAngTHR;LDTHR;LAngTHR;MtiaCount;;;;;;;;;;;;
25,9722;0;0,519444444;0,02;12;10;12;10;4;;;;;;;;;;;;
25,9722;0;0,519444444;0,03;12;10;8;50;12;;;;;;;;;;;;
25,9722;0;0,519444444;0,04;12;10;4;50;8;;;;;;;;;;;;
25,9722;0;0,519444444;0,04;12;10;8;50;12;;;;;;;;;;;;
26,1111;0;0,522222222;0,02;4;10;4;30;4;;;;;;;;;;;;
26,3889;0;0,527777778;0,04;4;10;12;50;4;;;;;;;;;;;;
26,5278;0;0,530555556;0,02;8;30;12;10;4;;;;;;;;;;;;
26,5278;0;0,530555556;0,02;8;50;12;10;4;;;;;;;;;;;;
26,6667;0;0,533333333;0,02;12;30;8;10;4;;;;;;;;;;;;
26,6667;0;0,533333333;0,02;12;50;8;10;4;;;;;;;;;;;;
26,8056;0;0,536111111;0,02;4;50;12;50;8;;;;;;;;;;;;
26,8056;0;0,536111111;0,02;8;10;12;10;4;;;;;;;;;;;;
26,9444;0;0,538888889;0,02;4;30;12;50;8;;;;;;;;;;;;
26,9444;0;0,538888889;0,02;8;30;8;10;4;;;;;;;;;;;;
26,9444;0;0,538888889;0,02;8;50;8;10;4;;;;;;;;;;;;
26,9444;0;0,538888889;0,02;12;10;8;10;4;;;;;;;;;;;;
26,9444;0;0,538888889;0,02;12;10;8;30;12;;;;;;;;;;;;
26,9444;0;0,538888889;0,03;12;10;8;30;12;;;;;;;;;;;;
26,9444;0;0,538888889;0,04;4;30;4;50;4;;;;;;;;;;;;
26,9444;0;0,538888889;0,04;4;50;4;50;4;;;;;;;;;;;;
27,0833;0;0,541666667;0,02;12;10;4;30;8;;;;;;;;;;;;
27,0833;0;0,541666667;0,04;4;10;8;50;4;;;;;;;;;;;;
27,0833;0;0,541666667;0,04;12;10;8;30;12;;;;;;;;;;;;
27,3611;0;0,547222222;0,02;8;10;4;50;8;;;;;;;;;;;;
27,3611;0;0,547222222;0,03;12;10;4;30;8;;;;;;;;;;;;
27,3611;0;0,547222222;0,04;4;10;12;30;4;;;;;;;;;;;;
27,5;0;0,55;0,02;8;10;8;10;4;;;;;;;;;;;;
27,6389;0;0,552777778;0,02;4;30;12;30;8;;;;;;;;;;;;
27,6389;0;0,552777778;0,02;4;50;12;30;8;;;;;;;;;;;;
27,6389;0;0,552777778;0,03;12;30;12;10;4;;;;;;;;;;;;
27,6389;0;0,552777778;0,03;12;50;12;10;4;;;;;;;;;;;;
27,6389;0;0,552777778;0,04;4;30;4;30;4;;;;;;;;;;;;
27,6389;0;0,552777778;0,04;4;50;4;30;4;;;;;;;;;;;;
27,6389;0;0,552777778;0,04;12;10;4;30;8;;;;;;;;;;;;
27,7778;0;0,555555556;0,03;4;10;4;50;4;;;;;;;;;;;;
27,7778;0;0,555555556;0,03;8;10;4;50;8;;;;;;;;;;;;
27,7778;0;0,555555556;0,04;4;10;8;30;4;;;;;;;;;;;;
27,9167;0;0,558333333;0,02;4;50;8;50;8;;;;;;;;;;;;
27,9167;0;0,558333333;0,02;12;30;4;50;12;;;;;;;;;;;;
27,9167;0;0,558333333;0,02;12;50;4;50;12;;;;;;;;;;;;
27,9167;0;0,558333333;0,03;4;50;12;50;8;;;;;;;;;;;;
27,9167;0;0,558333333;0,03;12;10;12;10;4;;;;;;;;;;;;
27,9167;0;0,558333333;0,03;12;30;4;50;12;;;;;;;;;;;;
27,9167;0;0,558333333;0,03;12;50;4;50;12;;;;;;;;;;;;
28,0556;0;0,561111111;0,03;4;30;12;50;8;;;;;;;;;;;;
28,0556;0;0,561111111;0,04;8;10;4;50;8;;;;;;;;;;;;
28,0556;0;0,561111111;0,04;12;30;4;50;12;;;;;;;;;;;;
28,0556;0;0,561111111;0,04;12;50;4;50;12;;;;;;;;;;;;
28,1944;0;0,563888889;0,02;4;30;8;50;8;;;;;;;;;;;;
