EER;FMR;FNMR;THR;GDTHR;GAngTHR;LDTHR;beta;alfa;;;;;;;;;;;
23,8889;0,013888889;0,463888889;10;4;10;0,4;30;12;;;;;;;;;;;
23,8889;0,013888889;0,463888889;10;4;10;0,4;60;12;;;;;;;;;;;
25,6944;0,013888889;0,5;10;4;40;0,2;30;8;;;;;;;;;;;
16,1111;0,016666667;0,305555556;20;10;40;0,4;30;8;;;;;;;;;;;
17,2222;0,016666667;0,327777778;20;10;40;0,2;30;12;;;;;;;;;;;
22,5;0,016666667;0,433333333;10;4;10;0,4;60;16;;;;;;;;;;;
23,3333;0,016666667;0,45;10;4;40;0,4;30;8;;;;;;;;;;;
25,5556;0,016666667;0,494444444;10;4;40;0,2;60;8;;;;;;;;;;;
15,8333;0,019444444;0,297222222;20;10;40;0,2;60;12;;;;;;;;;;;
23,4722;0,019444444;0,45;10;4;40;0,4;60;8;;;;;;;;;;;
15;0,022222222;0,277777778;20;10;40;0,2;30;16;;;;;;;;;;;
20,9722;0,022222222;0,397222222;10;4;40;0,2;30;16;;;;;;;;;;;
22,9167;0,022222222;0,436111111;10;4;40;0,2;30;12;;;;;;;;;;;
20;0,025;0,375;10;4;40;0,4;30;12;;;;;;;;;;;
21,1111;0,027777778;0,394444444;10;4;40;0,2;60;16;;;;;;;;;;;
22,9167;0,027777778;0,430555556;10;4;40;0,2;60;12;;;;;;;;;;;
18,6111;0,030555556;0,341666667;10;4;40;0,4;30;16;;;;;;;;;;;
12,5;0,033333333;0,216666667;20;10;40;0,4;30;12;;;;;;;;;;;
13,4722;0,033333333;0,236111111;20;10;40;0,2;60;16;;;;;;;;;;;
14,8611;0,033333333;0,263888889;20;10;40;0,4;60;8;;;;;;;;;;;
20;0,036111111;0,363888889;10;4;40;0,4;60;12;;;;;;;;;;;
18,6111;0,038888889;0,333333333;10;4;40;0,4;60;16;;;;;;;;;;;
22,0833;0,047222222;0,394444444;10;10;10;0,2;30;8;;;;;;;;;;;
11,8056;0,058333333;0,177777778;20;10;40;0,4;30;16;;;;;;;;;;;
11,9444;0,063888889;0,175;20;10;40;0,4;60;12;;;;;;;;;;;
18,1944;0,072222222;0,291666667;10;10;10;0,2;30;12;;;;;;;;;;;
21,9444;0,072222222;0,366666667;10;10;10;0,2;60;8;;;;;;;;;;;
10,5556;0,086111111;0,125;20;10;40;0,4;60;16;;;;;;;;;;;
17,2222;0,088888889;0,255555556;10;10;10;0,2;30;16;;;;;;;;;;;
19,3056;0,116666667;0,269444444;10;10;10;0,2;60;12;;;;;;;;;;;
18,8889;0,125;0,252777778;10;10;10;0,4;30;8;;;;;;;;;;;
18,1944;0,141666667;0,222222222;10;10;10;0,2;60;16;;;;;;;;;;;
17,3611;0,172222222;0,175;10;10;10;0,4;30;12;;;;;;;;;;;
21,1111;0,222222222;0,2;10;10;10;0,4;60;8;;;;;;;;;;;
17,7778;0,225;0,130555556;10;10;10;0,4;30;16;;;;;;;;;;;
25,9722;0,263888889;0,255555556;10;10;40;0,2;30;8;;;;;;;;;;;
20,6944;0,286111111;0,127777778;10;10;10;0,4;60;12;;;;;;;;;;;
21,25;0,338888889;0,086111111;10;10;10;0,4;60;16;;;;;;;;;;;
26,25;0,386111111;0,138888889;10;10;40;0,2;30;12;;;;;;;;;;;
28,1944;0,397222222;0,166666667;10;10;40;0,2;60;8;;;;;;;;;;;
27,6389;0,455555556;0,097222222;10;10;40;0,2;30;16;;;;;;;;;;;
33,6111;0,563888889;0,108333333;10;10;40;0,4;30;8;;;;;;;;;;;
32,3611;0,572222222;0,075;10;10;40;0,2;60;12;;;;;;;;;;;
35,1389;0,655555556;0,047222222;10;10;40;0,2;60;16;;;;;;;;;;;
37,2222;0,708333333;0,036111111;10;10;40;0,4;30;12;;;;;;;;;;;
38,75;0,744444444;0,030555556;10;10;40;0,4;60;8;;;;;;;;;;;
39,7222;0,786111111;0,008333333;10;10;40;0,4;30;16;;;;;;;;;;;
44,3056;0,877777778;0,008333333;10;10;40;0,4;60;12;;;;;;;;;;;
45,8333;0,913888889;0,002777778;10;10;40;0,4;60;16;;;;;;;;;;;
Matches;total;103680;;;;;;;;;;;;;;;;;
9286;;;;;;;;;;;;;;;;;;;
