EER;FMR;FNMR;THR;GDTHR;GAngTHR;MtiaCTHR;;;;;;;;
34,1667;0;0,683333333;0,016;4;40;10;;;;;;;;
34,1667;0;0,683333333;0,016;4;50;10;;;;;;;;
34,1667;0;0,683333333;0,016;4;60;10;;;;;;;;
35;0;0,7;0,016;4;10;2;;;;;;;;
35;0;0,7;0,016;4;10;4;;;;;;;;
35;0;0,7;0,016;4;10;6;;;;;;;;
35,1389;0;0,702777778;0,016;4;10;8;;;;;;;;
35,4167;0;0,708333333;0,016;4;10;10;;;;;;;;
12,5;0,002777778;0,247222222;0,012;10;60;2;;;;;;;;
12,5;0,002777778;0,247222222;0,012;10;60;4;;;;;;;;
12,5;0,002777778;0,247222222;0,012;10;60;6;;;;;;;;
12,7778;0,002777778;0,252777778;0,012;10;40;2;;;;;;;;
12,7778;0,002777778;0,252777778;0,012;10;40;4;;;;;;;;
12,7778;0,002777778;0,252777778;0,012;10;40;6;;;;;;;;
12,7778;0,002777778;0,252777778;0,012;10;50;2;;;;;;;;
12,7778;0,002777778;0,252777778;0,012;10;50;4;;;;;;;;
12,7778;0,002777778;0,252777778;0,012;10;50;6;;;;;;;;
12,7778;0,002777778;0,252777778;0,012;10;60;8;;;;;;;;
12,9167;0,002777778;0,255555556;0,012;10;30;2;;;;;;;;
12,9167;0,002777778;0,255555556;0,012;10;30;4;;;;;;;;
12,9167;0,002777778;0,255555556;0,012;10;30;6;;;;;;;;
13,0556;0,002777778;0,258333333;0,012;10;40;8;;;;;;;;
13,0556;0,002777778;0,258333333;0,012;10;50;8;;;;;;;;
13,1944;0,002777778;0,261111111;0,012;10;30;8;;;;;;;;
13,6111;0,002777778;0,269444444;0,012;10;20;2;;;;;;;;
13,6111;0,002777778;0,269444444;0,012;10;20;4;;;;;;;;
13,6111;0,002777778;0,269444444;0,012;10;20;6;;;;;;;;
13,8889;0,002777778;0,275;0,012;10;20;8;;;;;;;;
14,1667;0,002777778;0,280555556;0,012;10;60;10;;;;;;;;
14,4444;0,002777778;0,286111111;0,012;10;40;10;;;;;;;;
14,4444;0,002777778;0,286111111;0,012;10;50;10;;;;;;;;
14,5833;0,002777778;0,288888889;0,012;10;30;10;;;;;;;;
15,2778;0,002777778;0,302777778;0,012;10;20;10;;;;;;;;
17,2222;0,002777778;0,341666667;0,012;10;10;2;;;;;;;;
17,2222;0,002777778;0,341666667;0,012;10;10;4;;;;;;;;
17,2222;0,002777778;0,341666667;0,012;10;10;6;;;;;;;;
17,5;0,002777778;0,347222222;0,012;10;10;8;;;;;;;;
18,75;0,002777778;0,372222222;0,012;10;10;10;;;;;;;;
19,3056;0,002777778;0,383333333;0,008;6;50;8;;;;;;;;
19,3056;0,002777778;0,383333333;0,008;6;60;8;;;;;;;;
19,4444;0,002777778;0,386111111;0,008;6;40;8;;;;;;;;
19,5833;0,002777778;0,388888889;0,008;6;30;8;;;;;;;;
19,8611;0,002777778;0,394444444;0,008;6;20;2;;;;;;;;
20;0,002777778;0,397222222;0,008;6;20;4;;;;;;;;
20;0,002777778;0,397222222;0,008;6;20;6;;;;;;;;
20,2778;0,002777778;0,402777778;0,008;6;20;8;;;;;;;;
20,4167;0,002777778;0,405555556;0,008;6;50;10;;;;;;;;
20,4167;0,002777778;0,405555556;0,008;6;60;10;;;;;;;;
20,5556;0,002777778;0,408333333;0,008;6;40;10;;;;;;;;
20,6944;0,002777778;0,411111111;0,008;6;30;10;;;;;;;;
21,3889;0,002777778;0,425;0,008;6;20;10;;;;;;;;
22,6389;0,002777778;0,45;0,008;6;10;2;;;;;;;;
22,7778;0,002777778;0,452777778;0,008;6;10;4;;;;;;;;
22,7778;0,002777778;0,452777778;0,008;6;10;6;;;;;;;;
23,0556;0,002777778;0,458333333;0,008;6;10;8;;;;;;;;
24,1667;0,002777778;0,480555556;0,008;6;10;10;;;;;;;;
14,1667;0,005555556;0,277777778;0,008;8;20;2;;;;;;;;
14,3056;0,005555556;0,280555556;0,008;8;20;4;;;;;;;;
14,3056;0,005555556;0,280555556;0,008;8;20;6;;;;;;;;
14,3056;0,005555556;0,280555556;0,008;8;30;8;;;;;;;;
14,5833;0,005555556;0,286111111;0,008;8;20;8;;;;;;;;
15,6944;0,005555556;0,308333333;0,008;8;30;10;;;;;;;;
15,9722;0,005555556;0,313888889;0,008;8;20;10;;;;;;;;
17,7778;0,005555556;0,35;0,008;8;10;2;;;;;;;;
17,9167;0,005555556;0,352777778;0,008;8;10;4;;;;;;;;
17,9167;0,005555556;0,352777778;0,008;8;10;6;;;;;;;;
18,1944;0,005555556;0,358333333;0,008;8;10;8;;;;;;;;
18,8889;0,005555556;0,372222222;0,008;6;50;2;;;;;;;;
18,8889;0,005555556;0,372222222;0,008;6;60;2;;;;;;;;
19,0278;0,005555556;0,375;0,008;6;40;2;;;;;;;;
19,0278;0,005555556;0,375;0,008;6;50;4;;;;;;;;
19,0278;0,005555556;0,375;0,008;6;60;4;;;;;;;;
19,1667;0,005555556;0,377777778;0,008;6;30;2;;;;;;;;
19,1667;0,005555556;0,377777778;0,008;6;40;4;;;;;;;;
19,1667;0,005555556;0,377777778;0,008;6;50;6;;;;;;;;
19,1667;0,005555556;0,377777778;0,008;6;60;6;;;;;;;;
19,3056;0,005555556;0,380555556;0,008;6;30;4;;;;;;;;
19,3056;0,005555556;0,380555556;0,008;6;40;6;;;;;;;;
19,4444;0,005555556;0,383333333;0,008;8;10;10;;;;;;;;
19,4444;0,005555556;0,383333333;0,008;6;30;6;;;;;;;;
24,1667;0,005555556;0,477777778;0,004;4;20;8;;;;;;;;
25,2778;0,005555556;0,5;0,004;4;20;10;;;;;;;;
25,4167;0,005555556;0,502777778;0,004;4;10;8;;;;;;;;
26,3889;0,005555556;0,522222222;0,004;4;10;10;;;;;;;;
13,75;0,008333333;0,266666667;0,008;10;10;2;;;;;;;;
13,8889;0,008333333;0,269444444;0,008;10;10;4;;;;;;;;
13,8889;0,008333333;0,269444444;0,008;10;10;6;;;;;;;;
13,8889;0,008333333;0,269444444;0,008;8;30;2;;;;;;;;
14,0278;0,008333333;0,272222222;0,008;8;30;4;;;;;;;;
14,1667;0,008333333;0,275;0,008;8;30;6;;;;;;;;
14,3056;0,008333333;0,277777778;0,008;10;10;8;;;;;;;;
15,6944;0,008333333;0,305555556;0,008;10;10;10;;;;;;;;
23,6111;0,008333333;0,463888889;0,004;4;20;2;;;;;;;;
23,75;0,008333333;0,466666667;0,004;4;20;4;;;;;;;;
23,8889;0,008333333;0,469444444;0,004;4;20;6;;;;;;;;
24,0278;0,008333333;0,472222222;0,004;4;50;8;;;;;;;;
24,0278;0,008333333;0,472222222;0,004;4;60;8;;;;;;;;
24,1667;0,008333333;0,475;0,004;4;30;8;;;;;;;;
24,1667;0,008333333;0,475;0,004;4;40;8;;;;;;;;
24,8611;0,008333333;0,488888889;0,004;4;10;2;;;;;;;;
25;0,008333333;0,491666667;0,004;4;10;4;;;;;;;;
25,1389;0,008333333;0,494444444;0,004;4;10;6;;;;;;;;
25,1389;0,008333333;0,494444444;0,004;4;50;10;;;;;;;;
25,1389;0,008333333;0,494444444;0,004;4;60;10;;;;;;;;
25,2778;0,008333333;0,497222222;0,004;4;30;10;;;;;;;;
25,2778;0,008333333;0,497222222;0,004;4;40;10;;;;;;;;
10,4167;0,011111111;0,197222222;0,008;10;20;2;;;;;;;;
10,4167;0,011111111;0,197222222;0,008;10;30;8;;;;;;;;
10,5556;0,011111111;0,2;0,008;10;20;4;;;;;;;;
10,5556;0,011111111;0,2;0,008;10;20;6;;;;;;;;
10,9722;0,011111111;0,208333333;0,008;10;20;8;;;;;;;;
11,9444;0,011111111;0,227777778;0,008;10;30;10;;;;;;;;
12,5;0,011111111;0,238888889;0,008;10;20;10;;;;;;;;
14,1667;0,011111111;0,272222222;0,008;8;60;8;;;;;;;;
14,3056;0,011111111;0,275;0,008;8;40;8;;;;;;;;
14,3056;0,011111111;0,275;0,008;8;50;8;;;;;;;;
15,5556;0,011111111;0,3;0,008;8;60;10;;;;;;;;
15,6944;0,011111111;0,302777778;0,008;8;40;10;;;;;;;;
15,6944;0,011111111;0,302777778;0,008;8;50;10;;;;;;;;
18,0556;0,011111111;0,35;0,004;6;10;8;;;;;;;;
19,4444;0,011111111;0,377777778;0,004;6;10;10;;;;;;;;
23,4722;0,011111111;0,458333333;0,004;4;50;2;;;;;;;;
23,4722;0,011111111;0,458333333;0,004;4;60;2;;;;;;;;
23,6111;0,011111111;0,461111111;0,004;4;30;2;;;;;;;;
23,6111;0,011111111;0,461111111;0,004;4;40;2;;;;;;;;
23,6111;0,011111111;0,461111111;0,004;4;50;4;;;;;;;;
23,6111;0,011111111;0,461111111;0,004;4;60;4;;;;;;;;
23,75;0,011111111;0,463888889;0,004;4;30;4;;;;;;;;
23,75;0,011111111;0,463888889;0,004;4;40;4;;;;;;;;
23,75;0,011111111;0,463888889;0,004;4;50;6;;;;;;;;
23,75;0,011111111;0,463888889;0,004;4;60;6;;;;;;;;
23,8889;0,011111111;0,466666667;0,004;4;30;6;;;;;;;;
23,8889;0,011111111;0,466666667;0,004;4;40;6;;;;;;;;
9,8611;0,013888889;0,183333333;0,008;10;30;2;;;;;;;;
10;0,013888889;0,186111111;0,008;10;30;4;;;;;;;;
10,1389;0,013888889;0,188888889;0,008;10;30;6;;;;;;;;
10,2778;0,013888889;0,191666667;0,008;10;40;8;;;;;;;;
11,8056;0,013888889;0,222222222;0,008;10;40;10;;;;;;;;
13,75;0,013888889;0,261111111;0,008;8;60;2;;;;;;;;
13,8889;0,013888889;0,263888889;0,008;8;40;2;;;;;;;;
13,8889;0,013888889;0,263888889;0,008;8;50;2;;;;;;;;
13,8889;0,013888889;0,263888889;0,008;8;60;4;;;;;;;;
14,0278;0,013888889;0,266666667;0,008;8;40;4;;;;;;;;
14,0278;0,013888889;0,266666667;0,008;8;50;4;;;;;;;;
14,0278;0,013888889;0,266666667;0,008;8;60;6;;;;;;;;
14,1667;0,013888889;0,269444444;0,008;8;40;6;;;;;;;;
14,1667;0,013888889;0,269444444;0,008;8;50;6;;;;;;;;
9,7222;0,016666667;0,177777778;0,008;10;40;2;;;;;;;;
9,8611;0,016666667;0,180555556;0,008;10;40;4;;;;;;;;
10;0,016666667;0,183333333;0,008;10;40;6;;;;;;;;
10,4167;0,016666667;0,191666667;0,008;10;50;8;;;;;;;;
10,4167;0,016666667;0,191666667;0,008;10;60;8;;;;;;;;
