EER;FMR;FNMR;THR;GDTHR;GAngTHR;LDTHR;LAngTHR;MtiaCount;;;;;;;;;;;
33,75;0;0,675;0,02;8;10;12;10;4;;;;;;;;;;;
33,75;0;0,675;0,03;8;10;4;30;8;;;;;;;;;;;
33,8889;0;0,677777778;0,02;8;10;8;10;4;;;;;;;;;;;
33,8889;0;0,677777778;0,02;12;10;12;50;12;;;;;;;;;;;
33,8889;0;0,677777778;0,02;8;30;8;10;4;;;;;;;;;;;
33,8889;0;0,677777778;0,02;8;50;8;10;4;;;;;;;;;;;
33,8889;0;0,677777778;0,03;12;10;12;50;12;;;;;;;;;;;
33,8889;0;0,677777778;0,04;8;10;4;50;8;;;;;;;;;;;
33,8889;0;0,677777778;0,04;12;10;12;50;12;;;;;;;;;;;
34,0278;0;0,680555556;0,03;12;30;12;10;4;;;;;;;;;;;
34,0278;0;0,680555556;0,03;12;50;12;10;4;;;;;;;;;;;
34,0278;0;0,680555556;0,04;8;10;4;30;8;;;;;;;;;;;
34,1667;0;0,683333333;0,02;12;10;8;50;12;;;;;;;;;;;
34,1667;0;0,683333333;0,03;12;10;8;50;12;;;;;;;;;;;
34,1667;0;0,683333333;0,04;12;10;8;50;12;;;;;;;;;;;
34,3056;0;0,686111111;0,02;4;50;12;50;8;;;;;;;;;;;
34,3056;0;0,686111111;0,03;12;10;8;10;4;;;;;;;;;;;
34,3056;0;0,686111111;0,03;12;10;12;10;4;;;;;;;;;;;
34,3056;0;0,686111111;0,03;12;30;8;10;4;;;;;;;;;;;
34,3056;0;0,686111111;0,03;12;50;8;10;4;;;;;;;;;;;
34,3056;0;0,686111111;0,04;4;10;12;50;4;;;;;;;;;;;
34,4444;0;0,688888889;0,02;12;10;12;30;12;;;;;;;;;;;
34,4444;0;0,688888889;0,02;4;30;12;50;8;;;;;;;;;;;
34,4444;0;0,688888889;0,02;4;50;8;50;8;;;;;;;;;;;
34,4444;0;0,688888889;0,03;12;10;12;30;12;;;;;;;;;;;
34,4444;0;0,688888889;0,03;4;50;12;50;8;;;;;;;;;;;
34,4444;0;0,688888889;0,04;12;10;12;30;12;;;;;;;;;;;
34,5833;0;0,691666667;0,03;4;10;4;50;4;;;;;;;;;;;
34,5833;0;0,691666667;0,03;4;30;12;50;8;;;;;;;;;;;
34,5833;0;0,691666667;0,03;8;30;8;10;4;;;;;;;;;;;
34,5833;0;0,691666667;0,03;8;30;12;10;4;;;;;;;;;;;
34,5833;0;0,691666667;0,03;4;50;8;50;8;;;;;;;;;;;
34,5833;0;0,691666667;0,03;8;50;8;10;4;;;;;;;;;;;
34,5833;0;0,691666667;0,03;8;50;12;10;4;;;;;;;;;;;
34,7222;0;0,694444444;0,02;12;10;8;30;12;;;;;;;;;;;
34,7222;0;0,694444444;0,02;4;30;8;30;8;;;;;;;;;;;
34,7222;0;0,694444444;0,02;4;30;8;50;8;;;;;;;;;;;
34,7222;0;0,694444444;0,02;4;30;12;30;8;;;;;;;;;;;
34,7222;0;0,694444444;0,02;4;50;8;30;8;;;;;;;;;;;
34,7222;0;0,694444444;0,02;4;50;12;30;8;;;;;;;;;;;
34,7222;0;0,694444444;0,03;8;10;8;10;4;;;;;;;;;;;
34,7222;0;0,694444444;0,03;8;10;12;10;4;;;;;;;;;;;
34,7222;0;0,694444444;0,03;12;10;8;30;12;;;;;;;;;;;
34,7222;0;0,694444444;0,04;4;10;8;50;4;;;;;;;;;;;
34,7222;0;0,694444444;0,04;4;10;12;30;4;;;;;;;;;;;
34,7222;0;0,694444444;0,04;12;10;8;30;12;;;;;;;;;;;
34,7222;0;0,694444444;0,04;12;30;12;10;4;;;;;;;;;;;
34,7222;0;0,694444444;0,04;4;50;12;50;8;;;;;;;;;;;
34,7222;0;0,694444444;0,04;12;50;12;10;4;;;;;;;;;;;
34,8611;0;0,697222222;0,03;4;10;4;30;4;;;;;;;;;;;
34,8611;0;0,697222222;0,03;4;30;8;50;8;;;;;;;;;;;
34,8611;0;0,697222222;0,04;4;10;8;30;4;;;;;;;;;;;
34,8611;0;0,697222222;0,04;4;30;12;50;8;;;;;;;;;;;
34,8611;0;0,697222222;0,04;12;30;8;10;4;;;;;;;;;;;
34,8611;0;0,697222222;0,04;12;50;8;10;4;;;;;;;;;;;
35;0;0,7;0,03;4;30;8;30;8;;;;;;;;;;;
35;0;0,7;0,03;4;30;12;30;8;;;;;;;;;;;
35;0;0,7;0,03;4;50;8;30;8;;;;;;;;;;;
35;0;0,7;0,03;4;50;12;30;8;;;;;;;;;;;
35;0;0,7;0,04;12;10;8;10;4;;;;;;;;;;;
35;0;0,7;0,04;12;10;12;10;4;;;;;;;;;;;
35;0;0,7;0,04;4;50;8;50;8;;;;;;;;;;;
35,2778;0;0,705555556;0,04;8;10;8;10;4;;;;;;;;;;;
35,2778;0;0,705555556;0,04;8;10;12;10;4;;;;;;;;;;;
35,2778;0;0,705555556;0,04;4;30;8;30;8;;;;;;;;;;;
35,2778;0;0,705555556;0,04;4;30;8;50;8;;;;;;;;;;;
35,2778;0;0,705555556;0,04;8;30;8;10;4;;;;;;;;;;;
35,2778;0;0,705555556;0,04;8;30;12;10;4;;;;;;;;;;;
35,2778;0;0,705555556;0,04;4;50;8;30;8;;;;;;;;;;;
35,2778;0;0,705555556;0,04;8;50;8;10;4;;;;;;;;;;;
35,2778;0;0,705555556;0,04;8;50;12;10;4;;;;;;;;;;;
35,4167;0;0,708333333;0,02;12;10;4;10;4;;;;;;;;;;;
35,4167;0;0,708333333;0,02;12;30;4;10;4;;;;;;;;;;;
35,4167;0;0,708333333;0,02;12;30;4;50;12;;;;;;;;;;;
35,4167;0;0,708333333;0,02;12;50;4;10;4;;;;;;;;;;;
35,4167;0;0,708333333;0,02;12;50;4;50;12;;;;;;;;;;;
35,4167;0;0,708333333;0,03;12;30;4;50;12;;;;;;;;;;;
35,4167;0;0,708333333;0,03;12;50;4;50;12;;;;;;;;;;;
35,4167;0;0,708333333;0,04;4;30;12;30;8;;;;;;;;;;;
35,4167;0;0,708333333;0,04;12;30;4;50;12;;;;;;;;;;;
